date,active_apps_total_old,active_apps_total_new,downloads_total,entered_codes_total,sum_entered_codes,medical_hotline_count
2020-06-25,570000,,766484,0,0,0
2020-06-26,750000,,998436,0,0,0
2020-06-27,810000,,1119608,0,0,0
2020-06-28,860000,,1230073,0,0,0
2020-06-29,920000,,1333003,0,0,0
2020-06-30,930000,,1390660,0,0,0
2020-07-01,970000,,1465911,5,5,0
2020-07-02,990000,,1536788,11,16,0
2020-07-03,1010000,,1596193,14,30,0
2020-07-04,1020000,,1648663,11,41,2
2020-07-05,1000000,,1688534,2,43,0
2020-07-06,1020000,,1724354,14,57,1
2020-07-07,1020000,,1755729,13,70,1
2020-07-08,1020000,,1777486,11,76,11
2020-07-09,1010000,,1798896,16,81,14
2020-07-10,990000,,1824412,8,75,8
2020-07-11,960000,,1839211,8,72,2
2020-07-12,950000,,1849118,2,72,2
2020-07-13,970000,,1893309,5,63,2
2020-07-14,970000,,1903335,15,65,4
2020-07-15,950000,,1912140,15,69,3
2020-07-16,970000,,1936748,18,71,6
2020-07-17,990000,,1982185,8,71,6
2020-07-18,950000,,1995929,6,69,2
2020-07-19,940000,,2005893,4,71,0
2020-07-20,950000,,2016523,6,72,1
2020-07-21,950000,,2028381,18,75,4
2020-07-22,920000,1150000,2040568,11,71,9
2020-07-23,900000,1160000,2052409,15,68,7
2020-07-24,910000,1200000,2063710,10,70,4
2020-07-25,900000,1190000,2072692,8,72,4
2020-07-26,910000,1200000,2080343,7,75,3
2020-07-27,910000,1200000,2096282,12,81,4
2020-07-28,910000,1200000,2103112,20,83,19
2020-07-29,910000,1200000,2110677,17,89,17
2020-07-30,920000,1220000,2138262,19,93,8
2020-07-31,920000,1220000,2145101,18,101,6
2020-08-01,910000,1190000,2150253,22,115,5
2020-08-02,910000,1210000,2154943,10,118,8
2020-08-03,920000,1220000,2159850,13,119,9
2020-08-04,920000,1210000,2164595,28,127,9
2020-08-05,910000,1210000,2171515,13,123,13
2020-08-06,910000,1210000,2176388,17,121,5
2020-08-07,910000,1230000,2181507,21,124,6
2020-08-08,910000,1210000,2185804,16,118,5
2020-08-09,920000,1250000,2189932,17,125,4
2020-08-10,940000,1260000,2194686,18,130,9
2020-08-11,950000,1240000,2198981,42,144,13
2020-08-12,970000,1260000,2203791,33,164,26
2020-08-13,990000,1270000,2208871,40,187,18
2020-08-14,1020000,1310000,2213926,45,211,6
2020-08-15,1030000,1280000,2218501,27,222,16
2020-08-16,1020000,1290000,2223114,10,215,16
2020-08-17,1070000,1380000,2228058,36,233,18
2020-08-18,1090000,1330000,2232358,34,225,39
2020-08-19,1100000,1360000,2237019,54,246,28
2020-08-20,1100000,1370000,2241822,29,235,22
2020-08-21,1110000,1360000,2246117,35,225,44
2020-08-22,1120000,1400000,2251276,17,215,9
2020-08-23,1130000,1450000,2254615,23,228,28
2020-08-24,1160000,1470000,2258312,41,233,24
2020-08-25,1180000,1470000,2262545,24,223,20
2020-08-26,1200000,1480000,2267550,31,200,18
2020-08-27,1220000,1520000,2271574,81,252,47
2020-08-28,1240000,1550000,2283727,64,281,59
2020-08-29,1260000,1580000,2294764,19,283,14
2020-08-30,1260000,1590000,2300717,14,274,31
2020-08-31,1270000,1590000,2308100,54,287,42
2020-09-01,1290000,1590000,2330702,45,308,53
2020-09-02,1300000,1590000,2335821,58,335,51
2020-09-03,1300000,1630000,2339929,70,324,58
2020-09-04,1300000,1620000,2343733,75,335,77
2020-09-05,1300000,1630000,2347375,58,374,60
2020-09-06,1300000,1680000,2350672,31,391,91
2020-09-07,1310000,1650000,2353962,73,410,56
2020-09-08,1310000,1630000,2358065,76,441,65
2020-09-09,1310000,1630000,2361267,52,435,64
2020-09-10,1300000,1620000,2364827,53,418,71
2020-09-11,1290000,1610000,2370328,81,424,79
2020-09-12,1260000,1600000,2373278,74,440,107
2020-09-13,1240000,1630000,2376366,52,461,87
2020-09-14,1240000,1620000,2379672,65,453,89
2020-09-15,1230000,1600000,2382885,57,434,67
2020-09-16,1220000,1590000,2386184,83,465,58
2020-09-17,1210000,1600000,2391050,80,492,122
2020-09-18,1210000,1610000,2394626,87,498,94
2020-09-19,1190000,1600000,2397877,57,481,75
2020-09-20,1190000,1630000,2400770,55,484,103
2020-09-21,1200000,1610000,2403631,56,475,99
2020-09-22,1200000,1620000,2406276,80,498,164
2020-09-23,1200000,1610000,2409185,84,499,155
2020-09-24,1200000,1610000,2412303,46,465,121
2020-09-25,1200000,1580000,2414840,66,444,62
2020-09-26,1190000,1600000,2417297,52,439,70
2020-09-27,1190000,1640000,2419697,33,417,53
2020-09-28,1190000,1630000,2421878,24,385,64
2020-09-29,1200000,1610000,2424683,59,364,86
2020-09-30,1190000,1590000,2426792,85,365,87
2020-10-01,1190000,1610000,2429037,116,435,116
2020-10-02,1200000,1600000,2431460,105,474,154
2020-10-03,1190000,1610000,2433865,88,510,117
2020-10-04,1010000,1580000,2435974,126,603,122
2020-10-05,1200000,1640000,2438666,101,680,195
2020-10-06,1210000,1620000,2441646,170,791,208
2020-10-07,1210000,1620000,2470867,191,897,255
2020-10-08,1200000,1620000,2475284,213,994,201
2020-10-09,1200000,1610000,2480689,215,1104,234
2020-10-10,1200000,1610000,2485384,207,1223,274
2020-10-11,1210000,1670000,2490524,247,1344,262
2020-10-12,1230000,1660000,2496854,189,1432,415
2020-10-13,1250000,1670000,2503401,275,1537,335
2020-10-14,1240000,1590000,2511033,337,1683,379
2020-10-15,1260000,1680000,2524847,336,1806,497
2020-10-16,1270000,1670000,2539625,511,2102,568
2020-10-17,1260000,1700000,2547801,461,2356,510
2020-10-18,1280000,1740000,2565144,435,2544,308
2020-10-19,1300000,1770000,2606493,484,2839,838
2020-10-20,1330000,1770000,2622915,529,3093,642
2020-10-21,1380000,1790000,2637257,623,3379,761
2020-10-22,1430000,1800000,2649147,591,3634,664
2020-10-23,1480000,1810000,2661750,870,3993,561
2020-10-24,1390000,1810000,2668588,762,4294,400
2020-10-25,1420000,1890000,2675089,916,4775,552
2020-10-26,1390000,1830000,2684178,1022,5313,771
2020-10-27,1390000,1820000,2692393,1114,5898,741
2020-10-28,1390000,1860000,2702818,1109,6384,713
2020-10-29,1400000,1840000,2710740,1109,6902,694
2020-10-30,1400000,1840000,2727364,1095,7127,700
2020-10-31,1390000,1810000,2732161,822,7187,569
2020-11-01,1390000,1840000,2736921,698,6969,483
2020-11-02,1410000,1880000,2740721,1136,7083,603
2020-11-03,1410000,1880000,2746785,1297,7266,622
2020-11-04,1430000,1840000,2751187,1476,7633,733
2020-11-05,1420000,1850000,2755330,1204,7728,639
2020-11-06,1430000,1840000,2758953,962,7595,565
2020-11-07,1400000,1850000,2762469,763,7536,396
2020-11-08,1390000,1870000,2765098,480,7318,326
2020-11-09,1400000,1870000,2768968,1121,7303,452
2020-11-10,1410000,1830000,2772099,953,6959,471
2020-11-11,1430000,1860000,2775264,1098,6581,459
2020-11-12,1400000,1860000,2778032,847,6224,440
2020-11-13,1400000,1840000,2781752,727,5989,354
2020-11-14,1390000,1840000,2784128,708,5934,270
2020-11-15,1380000,1870000,2786199,510,5964,229
2020-11-16,1390000,1860000,2788542,533,5376,353
2020-11-17,1400000,1840000,2792696,685,5108,258
2020-11-18,1390000,1810000,2794985,811,4821,318
2020-11-19,1400000,1840000,2797406,592,4566,368
2020-11-20,1390000,1820000,2800077,619,4458,297
2020-11-21,1380000,1830000,2802085,535,4285,246
2020-11-22,1380000,1840000,2803741,389,4164,225
2020-11-23,1400000,1840000,2805655,492,4123,230
2020-11-24,1400000,1840000,2806415,590,4028,259
2020-11-25,900000,1840000,2809651,631,3848,331
2020-11-26,1400000,1830000,2811512,557,3813,259
2020-11-27,1400000,1820000,2813671,499,3693,275
2020-11-28,1390000,1830000,2816134,422,3580,222
2020-11-29,1390000,1840000,2817882,320,3511,236
2020-11-30,1400000,1840000,2819788,432,3451,259
2020-12-01,1400000,1830000,2822148,550,3411,277
2020-12-02,1400000,1830000,2824735,595,3375,261
2020-12-03,1400000,1830000,2826941,542,3360,252
2020-12-04,1400000,1820000,2829254,601,3462,313
2020-12-05,1390000,1820000,2831525,487,3527,259
2020-12-06,1380000,1830000,2833268,376,3583,259
2020-12-07,1400000,1820000,2835325,649,3800,334
2020-12-08,1400000,1830000,2837522,662,3912,442
2020-12-09,1400000,1820000,2839724,675,3992,295
2020-12-10,1400000,1820000,2841767,767,4217,320
2020-12-11,1410000,1810000,2843893,705,4321,260
2020-12-12,1400000,1820000,2846030,582,4416,211
2020-12-13,1390000,1830000,2847761,497,4537,254
2020-12-14,1410000,1830000,2849689,628,4516,213
2020-12-15,1440000,1810000,2851762,657,4511,164
2020-12-16,1420000,1800000,2853792,781,4617,138
