V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31
1 -0.00989066469480711 -0.00992829475695614 -0.0100412315279586 -0.0102296156799902 -0.0104936847706652 -0.0108337780467211 -0.0112503434635821 -0.0117439472123098 -0.0123152861238693 -0.0129652033935827 -0.0136336729769929 -0.0144439641537016 -0.0153364595074535 -0.0162997242846912 -0.0173416136482809 -0.0184711469942318 -0.0196810327249081 -0.02097651147542 -0.022359278528223 -0.0238312644859798 -0.0253946848026089 -0.0269910681129058 -0.0287454775189141 -0.0305966663440312 -0.0325294820857511 -0.0345616176675705 -0.0367036594452489 -0.0389463119791495 -0.0412981047000143 -0.0437627947579976 -0.0463446347961102
2 -0.00992248265843963 -0.0100230338493591 -0.0101990050647775 -0.0104506177232427 -0.0107781940275243 -0.0111821636048928 -0.0116630726022597 -0.0122215955934019 -0.0128585507296421 -0.0135138834751845 -0.0143108304162681 -0.0151897363883149 -0.016141893567804 -0.0171703853191631 -0.01828604176379 -0.0194820346075944 -0.0207633645475292 -0.0221316924548346 -0.0235889076041381 -0.0251371752109461 -0.0267789974390897 -0.028456255874145 -0.0302942621871963 -0.0322110143145073 -0.0342267147285261 -0.0363436825098817 -0.0385764409886648 -0.0409101104906672 -0.0433560335543157 -0.045918374976086 -0.048540854258061
3 -0.0100179698391476 -0.0101815433295554 -0.0104207222270148 -0.0107358120389004 -0.011127224543848 -0.0115954864717338 -0.0121412509342736 -0.0127653120255982 -0.0134075879237307 -0.0141912839738078 -0.0150567089923618 -0.0159975794342396 -0.0170127486259503 -0.0181146448317943 -0.0192968458158377 -0.020564139074257 -0.021918152694933 -0.0233607367091744 -0.024894008750605 -0.0265204127188995 -0.0281817583751901 -0.0300034562861924 -0.0319073417589698 -0.0339067724712445 -0.0360070907198641 -0.0382219754589245 -0.0405377525262021 -0.0429651624820691 -0.0455082866851892 -0.0481107416625353 -0.0508999556605129
4 -0.0101772266606644 -0.0104039916717273 -0.010706622554365 -0.0110855136739717 -0.011541172921043 -0.0120742326843319 -0.0126854639240756 -0.0133147586652979 -0.0140852923832665 -0.0149373395145554 -0.0158667574388589 -0.0168686768910317 -0.0179569238959214 -0.0191254305493981 -0.0203787953524326 -0.0217186151256296 -0.0231467026010377 -0.0246651303117319 -0.0262762870407196 -0.0279219146863184 -0.0297273399009792 -0.0316184078778683 -0.0336017312316948 -0.0356855702751188 -0.0378828407957293 -0.0401809497127541 -0.0425900929169703 -0.0451142724619985 -0.0476970071599084 -0.0504656040150156 -0.0533547369570609
5 -0.0104004223651537 -0.0106906190322475 -0.0110570214627484 -0.0115001192382181 -0.0120205247103321 -0.0126189865683651 -0.0132353717491291 -0.0139928271520605 -0.01483159438622 -0.0157494054282626 -0.0167381457340051 -0.0178084789905857 -0.0189677558794966 -0.0202072967225732 -0.0215330388833305 -0.022946759608607 -0.0244504886497444 -0.0260465626198095 -0.0276766592712909 -0.0294660259890294 -0.0313441589562444 -0.0333115341789845 -0.0353790613507192 -0.0375589661749634 -0.0398396250319801 -0.0422307406905045 -0.0447362397750599 -0.047360583477094 -0.0500478583535886 -0.0529196605125608 -0.0559035276373874
6 -0.0106877978927074 -0.0110417414176839 -0.0114723158531868 -0.0119801141490136 -0.0125658635290583 -0.0131694068416959 -0.0139138636310687 -0.0147394441486475 -0.0156455035358217 -0.0166211330681233 -0.017678207397785 -0.0188237916899292 -0.0200496094957482 -0.021361386272931 -0.0227608654770295 -0.0242500362458581 -0.0258311857824881 -0.0274459311819975 -0.0292194449328046 -0.0310845440879534 -0.0330361273041813 -0.035087506930689 -0.0372502844430136 -0.0395137054194549 -0.0418870259406586 -0.0443741008390678 -0.0469793031667601 -0.049646610391216 -0.0525011186713791 -0.0554645165400417 -0.0585590681013369
7 -0.0110396700632901 -0.011457756303399 -0.0119529913603212 -0.0125260817436033 -0.0131168471511543 -0.0138483809224429 -0.0146608633425387 -0.0155550341769047 -0.0165176190965832 -0.0175615065965548 -0.0186935106248088 -0.0199057028884367 -0.0212036226866005 -0.0225889812666235 -0.0240637291814865 -0.025630106810625 -0.0272296738668018 -0.0289875320549654 -0.0308395151577469 -0.0327754594077115 -0.0348108528039482 -0.0369567320253105 -0.039203121653067 -0.0415588729749572 -0.0440277724461396 -0.0466141093366143 -0.0492617575634216 -0.0520984655960939 -0.0550422286290811 -0.0581158921968448 -0.0613246788758599
8 -0.0114564372106883 -0.0119391498924774 -0.0124996314684459 -0.0130776793652375 -0.0137963618017338 -0.0145958304127926 -0.0154774893417264 -0.0164275863088442 -0.0174583568717966 -0.0185768880424281 -0.0197755489646967 -0.0210597165313881 -0.0224310712623681 -0.0238915270253912 -0.0254432798013877 -0.0270278349970471 -0.0287702274049886 -0.0306090268231954 -0.0325294820857511 -0.0345490475580128 -0.036678248842425 -0.0389078082506579 -0.0412462101448242 -0.043697175810992 -0.0462649148332078 -0.0488932027900291 -0.0517096659939534 -0.0546365736714182 -0.0576896372658851 -0.0608771030856168 -0.0642038465873949
9 -0.0119385864586672 -0.0124865062434297 -0.0130518936021532 -0.01375779265393 -0.0145443276281128 -0.0154128712119944 -0.0163510194770794 -0.017368740797256 -0.0184739019747494 -0.0196591225850839 -0.0209296391649273 -0.0222871028931618 -0.0237333927325507 -0.0252706625410664 -0.0268403663103536 -0.0285674755656809 -0.030393036496738 -0.0322981497159428 -0.0343020425709728 -0.0364147782330889 -0.038627703376125 -0.0409489697303463 -0.0433822364289059 -0.0459316372226395 -0.0485408542580611 -0.0513373979110812 -0.054247465298237 -0.0572802114947796 -0.0604466551642352 -0.0637516336974466 -0.0672002040972258
10 -0.012486702868266 -0.0130394833742569 -0.0137326634230229 -0.0145063410150622 -0.0153618588019481 -0.0162879056528809 -0.0172926432330945 -0.0183845330921508 -0.0195564013618366 -0.0208133648386421 -0.0221570466600847 -0.0235892925538718 -0.0251122163919016 -0.0267282586257017 -0.028379225478144 -0.0301905232451857 -0.0320814194427474 -0.0340697920021396 -0.0361589069277263 -0.0383627487533748 -0.0406670878346794 -0.0430828839454769 -0.0456141986294876 -0.0482046252223296 -0.0509815640280237 -0.0538748209531527 -0.0568875269829348 -0.0600332417870037 -0.0633167643402086 -0.066743119055984 -0.0703174949291835
11 -0.0130404455642233 -0.0137209675748445 -0.0144818603062129 -0.0153244377214656 -0.0162382341642957 -0.0172300513235339 -0.0183087646730486 -0.0194673656198479 -0.0207108706478956 -0.0220408760729915 -0.0234591959559103 -0.0249679061909067 -0.0265694010916398 -0.0282054302838257 -0.030001330198741 -0.0318792511626926 -0.0338522527817495 -0.0359256656634125 -0.0381128895874987 -0.040400504287264 -0.0427990520372439 -0.0453125255890742 -0.0478844338223382 -0.0506420725010154 -0.0535185618417805 -0.0565114996947179 -0.0596367735772301 -0.0628991438209475 -0.066303601291044 -0.069855311234929 -0.073559515076872
12 -0.013722702072968 -0.0144708789021 -0.0153005974534075 -0.0162019966132816 -0.0171809544947118 -0.0182465825781176 -0.0193919983630836 -0.0206221364886006 -0.0219385675948526 -0.0233430755498719 -0.0248377001598541 -0.0264247920103153 -0.0280460471824831 -0.0298267360784118 -0.0316916075097319 -0.0336493846000453 -0.0357072499938492 -0.0378780744926604 -0.0401491625552699 -0.0425306783023523 -0.0450265489120333 -0.0475802029142663 -0.0503188367535172 -0.0531786128828594 -0.0561520494121974 -0.0592571650637409 -0.0624986814073494 -0.0658815549775276 -0.0694109254600893 -0.0730920240349367 -0.0769809743789083
13 -0.0144733938468182 -0.0152903313146828 -0.016179186873652 -0.0171453444527789 -0.0181979752288438 -0.019330285246083 -0.0205471450198796 -0.0218501005932987 -0.0232409070292622 -0.0247215698256107 -0.0262943981114341 -0.0279010373049275 -0.0296666954050645 -0.0315184538409226 -0.0334611498960045 -0.0355036194761964 -0.0376582554261815 -0.039913009662606 -0.0422777041605107 -0.0447562035602797 -0.047352895073165 -0.0500117752848371 -0.0528549026610969 -0.0558090996889607 -0.0588943346384497 -0.062115290295069 -0.0654768882378855 -0.0689842410246028 -0.0726425665918103 -0.076505276060478 -0.0805080999811805
